denominationCategory,type,description,amount,denominationAccountDeb,denominationAccountCred,date,email
Food,debit,test,3000,Wallet,Company,2023-11-10,bernardo@gmail.com
Salary,debit,test,1000,Wallet,Company,2023-11-05,francis@gmail.com
IRS,debit,test,240,Wallet,Company,2023-11-01,pedro@gmail.com
IRS,debit,test,147,Wallet,Company,2023-10-10,maria@gmail.com
IRS,debit,test,39,Wallet,Company,2023-05-10,bernardo@gmail.com
Salary,debit,test,74,Wallet,Company,2023-12-10,bernardo@gmail.com
Food,debit,test,64,Wallet,Company,2023-11-10,bernardo@gmail.com
Salary,debit,test,785,Wallet,Company,2023-11-10,bernardo@gmail.com
Food,debit,test,3000,Wallet,Company,2023-11-10,bernardo@gmail.com
Salary,debit,test,1000,Wallet,Company,2023-11-05,francis@gmail.com
IRS,debit,test,240,Wallet,Company,2023-11-01,pedro@gmail.com
IRS,debit,test,147,Wallet,Company,2023-10-10,maria@gmail.com
IRS,debit,test,39,Wallet,Company,2023-05-10,bernardo@gmail.com
Salary,debit,test,74,Wallet,Company,2023-12-10,bernardo@gmail.com
Food,debit,test,64,Wallet,Company,2023-11-10,bernardo@gmail.com
Salary,debit,test,785,Wallet,Company,2023-11-10,bernardo@gmail.com
Food,debit,test,3000,Wallet,Company,2023-11-10,bernardo@gmail.com
Salary,debit,test,1000,Wallet,Company,2023-11-05,francis@gmail.com
IRS,debit,test,240,Wallet,Company,2023-11-01,pedro@gmail.com
IRS,debit,test,147,Wallet,Company,2023-10-10,maria@gmail.com
IRS,debit,test,39,Wallet,Company,2023-05-10,bernardo@gmail.com
Salary,debit,test,74,Wallet,Company,2023-12-10,bernardo@gmail.com
Food,debit,test,64,Wallet,Company,2023-11-10,bernardo@gmail.com
Salary,debit,test,785,Wallet,Company,2023-11-10,bernardo@gmail.com
Food,debit,test,3000,Wallet,Company,2023-11-10,bernardo@gmail.com
Salary,debit,test,1000,Wallet,Company,2023-11-05,francis@gmail.com
IRS,debit,test,240,Wallet,Company,2023-11-01,pedro@gmail.com
IRS,debit,test,147,Wallet,Company,2023-10-10,maria@gmail.com
IRS,debit,test,39,Wallet,Company,2023-05-10,bernardo@gmail.com
Salary,debit,test,74,Wallet,Company,2023-12-10,bernardo@gmail.com
Food,debit,test,64,Wallet,Company,2023-11-10,bernardo@gmail.com
Salary,debit,test,785,Wallet,Company,2023-11-10,bernardo@gmail.com
Food,debit,test,3000,Wallet,Company,2023-11-10,bernardo@gmail.com
Salary,debit,test,1000,Wallet,Company,2023-11-05,francis@gmail.com
IRS,debit,test,240,Wallet,Company,2023-11-01,pedro@gmail.com
IRS,debit,test,147,Wallet,Company,2023-10-10,maria@gmail.com
IRS,debit,test,39,Wallet,Company,2023-05-10,bernardo@gmail.com
Salary,debit,test,74,Wallet,Company,2023-12-10,bernardo@gmail.com
Food,debit,test,64,Wallet,Company,2023-11-10,bernardo@gmail.com
Salary,debit,test,785,Wallet,Company,2023-11-10,bernardo@gmail.com
Food,debit,test,3000,Wallet,Company,2023-11-10,bernardo@gmail.com
Salary,debit,test,1000,Wallet,Company,2023-11-05,francis@gmail.com
IRS,debit,test,240,Wallet,Company,2023-11-01,pedro@gmail.com
IRS,debit,test,147,Wallet,Company,2023-10-10,maria@gmail.com
IRS,debit,test,39,Wallet,Company,2023-05-10,bernardo@gmail.com
Salary,debit,test,74,Wallet,Company,2023-12-10,bernardo@gmail.com
Food,debit,test,64,Wallet,Company,2023-11-10,bernardo@gmail.com
Salary,debit,test,785,Wallet,Company,2023-11-10,bernardo@gmail.com
Food,debit,test,3000,Wallet,Company,2023-11-10,bernardo@gmail.com
Salary,debit,test,1000,Wallet,Company,2023-11-05,francis@gmail.com
IRS,debit,test,240,Wallet,Company,2023-11-01,pedro@gmail.com
IRS,debit,test,147,Wallet,Company,2023-10-10,maria@gmail.com
IRS,debit,test,39,Wallet,Company,2023-05-10,bernardo@gmail.com
Salary,debit,test,74,Wallet,Company,2023-12-10,bernardo@gmail.com
Food,debit,test,64,Wallet,Company,2023-11-10,bernardo@gmail.com
Salary,debit,test,785,Wallet,Company,2023-11-10,bernardo@gmail.com
